,month,day,hour,minute,reading
0,10,3,11,0,30.7275
1,10,3,11,1,30.9375
2,10,3,11,2,30.6175
3,10,3,11,3,30.5075
4,10,3,11,4,30.4775
5,10,3,11,5,30.38
6,10,3,11,6,30.3325
7,10,3,11,7,30.3625
8,10,3,11,8,30.175
9,10,3,11,9,29.9825
10,10,3,11,10,29.845
11,10,3,11,11,29.7725
12,10,3,11,12,29.6125
13,10,3,11,13,29.417499999999997
14,10,3,11,14,29.55
15,10,3,11,15,29.3025
16,10,3,11,16,29.1575
17,10,3,11,17,29.2175
18,10,3,11,18,29.1425
19,10,3,11,19,28.915
20,10,3,11,20,28.96
21,10,3,11,21,28.7175
22,10,3,11,22,28.575
23,10,3,11,23,28.645
24,10,3,11,24,28.450000000000003
25,10,3,11,25,28.37
26,10,3,11,26,28.19
27,10,3,11,27,28.24
28,10,3,11,28,28.1625
29,10,3,11,29,28.015
30,10,3,11,30,27.9825
31,10,3,11,31,28.1925
32,10,3,11,32,27.8975
33,10,3,11,33,27.8425
34,10,3,11,34,27.9375
35,10,3,11,35,27.54
36,10,3,11,36,27.7675
37,10,3,11,37,27.6425
38,10,3,11,38,27.73
39,10,3,11,39,27.5975
40,10,3,11,40,27.509999999999998
41,10,3,11,41,27.8475
42,10,3,11,42,27.26
43,10,3,11,43,27.5425
44,10,3,11,44,27.802500000000002
45,10,3,11,45,27.6125
46,10,3,11,46,27.6175
47,10,3,11,47,27.535
48,10,3,11,48,27.4575
49,10,3,11,49,27.795
50,10,3,11,50,27.685
51,10,3,11,51,27.4775
52,10,3,11,52,27.2725
53,10,3,11,53,27.4025
54,10,3,11,54,27.4625
55,10,3,11,55,27.305
56,10,3,11,56,27.4675
57,10,3,11,57,27.3175
58,10,3,11,58,26.96666666666667
59,10,3,11,59,27.0025
